YEAR, ACT, NSW, NT, QLD, SA, TAS, VIC, WA, Intl, TOTAL
2010,46, 879, 16, 675, 252, 45, 754, 414, 3,3084
2011, 53, 1034, 22, 1187, 593, 71, 1004, 531, 2, 4497
2012, 48, 948, 28, 1391, 650, 120, 1122, 514, 3, 4824
2013, 44, 894, 41, 1336, 604, 144, 1093, 439, 6, 4601
2014, 44, 908, 47, 1263, 521, 137, 1075, 401, 8, 4404
2015, 44, 916, 51, 1151, 490, 109, 998, 384, 7, 4150
2016, 56, 951, 70, 1188, 500, 101, 974, 465, 7, 4312
2017, 66, 1085, 72, 1354, 552, 112, 1059, 612, 7, 4919
2018, 91, 1323, 81, 1571, 653, 112, 1316, 712, 5, 5864
2019, 103, 1539, 86, 1797, 694, 116, 1510, 716, 5, 6566