"Daily Weather Observations for Adelaide Airport, South Australia for December 2019",,,,,,,,,,,,,,,,,,,,,
Prepared at 13:02 UTC on Saturday 10 October 2020   IDCJDW5001.201912,,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,,
Observations are made about 1 km east of the coast.,,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Adelaide Airport {station 023034},,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,1/12/19,11.6,17.8,1,7.4,0.8,WSW,63,18:07,15.2,79,8,W,35,1008.8,16.8,56,7,WSW,44,1006.8
,2/12/19,12.5,19.7,2,4.6,7.8,SW,59,1:46,14.7,72,7,SSW,31,1007.9,19.3,47,5,SW,33,1010.4
,3/12/19,13.7,20.6,0,7.2,9.1,SW,39,3:58,15.8,70,8,SW,26,1015.1,19,53,1,SW,26,1015
,4/12/19,14.6,20.5,0,7.2,11.3,WSW,31,0:17,16.5,63,7,W,20,1018,19.6,51,0,W,13,1016.1
,5/12/19,13.4,21.3,0,5.8,13.5,SW,30,14:41,17.7,70,5,WSW,13,1014.5,20.4,63,0,WSW,15,1013.4
,6/12/19,11.4,21,0,5,12.6,SW,43,11:30,16.1,57,5,S,17,1016.9,19,57,6,SW,31,1016.3
,7/12/19,9.3,28,0,7.6,13.7,SSW,37,14:29,15.9,57,2,SSW,9,1018.3,20.7,52,5,SW,24,1015.6
,8/12/19,12.7,37.6,0,4.4,13.1,NE,41,10:33,27.9,18,3,NE,22,1013.1,35.9,7,3,WSW,15,1010.6
,9/12/19,20.1,22.8,0,15,6,WSW,56,17:42,20.9,73,5,SW,17,1014.7,19.8,70,8,SW,30,1017.7
,10/12/19,14.4,25.6,0,7.8,12.2,WSW,48,13:24,18.1,60,6,S,24,1020.9,22,52,1,SW,37,1018.7
,11/12/19,13,25.5,0,9.2,12.7,SW,50,14:39,17.7,52,2,SE,20,1020,21.9,49,2,SSW,26,1018.8
,12/12/19,14.5,23.2,0,9.6,12.5,SW,52,14:27,18.6,51,6,SSE,22,1022.3,20.2,49,1,SW,37,1021.4
,13/12/19,13.8,20.2,0,10.4,11,SW,43,14:53,17.5,49,6,SSE,24,1022.8,19.4,51,7,SW,28,1020.9
,14/12/19,14.3,20.4,0,7.8,10.2,WSW,30,11:08,16.8,65,7,SW,13,1019.4,19.3,59,1,WSW,17,1017.1
,15/12/19,12.5,28.3,0,7.2,12.8,SW,28,15:48,20.1,66,6,N,7,1013.3,24.7,31,6,SW,15,1012
,16/12/19,14,31.1,0,8,12.4,SSE,33,18:47,24.4,31,0,E,6,1014.3,27.4,31,1,SW,22,1013.3
,17/12/19,17.4,39.3,0,11,10,WSW,37,14:12,25.4,41,6,SSW,9,1015.4,35.8,17,6,WSW,22,1012.5
,18/12/19,25.2,42.4,0,13.6,11.2,SSW,37,17:08,37,9,0,NNE,24,1012.6,40.6,8,0,WSW,17,1010.5
,19/12/19,20.8,43.9,0,15.4,12.2,ESE,30,23:07,34,20,0,SSW,7,1012,42.1,12,0,SW,20,1009
,20/12/19,31.9,42.2,0,18.6,6.6,NNW,63,11:08,39.2,10,0,N,31,1007.1,38.1,20,7,NNW,37,1004.8
,21/12/19,17.3,25,0.4,15.2,4.2,S,43,10:16,20.5,53,3,S,24,1020.3,20.2,53,7,SSE,22,1020.9
,22/12/19,12.1,28.5,0,7.8,2.9,SE,39,23:33,18.7,40,6,NNW,13,1021.1,23.7,36,7,SSW,13,1018
,23/12/19,17.4,29.3,0,5.6,5.9,SW,37,15:06,26.2,28,6,NNW,6,1015.9,26.2,45,7,SW,26,1015.6
,24/12/19,14,28,0,6.8,9.9,SW,35,16:14,22.2,68,6,WNW,13,1016.2,24.5,62,6,WSW,26,1014.7
,25/12/19,18.7,32.1,0,9.4,12,SW,41,15:33,26.9,34,0,NNW,7,1016.5,26.1,58,1,SW,24,1015.2
,26/12/19,16.7,34.4,0,11.6,11.7,SSE,39,14:43,22.6,46,5,W,11,1018.5,33.5,17,4,SSE,20,1015.6
,27/12/19,21.3,39,0,11.4,11.1,SSW,44,20:55,29.5,25,2,ENE,9,1012.9,37.9,12,3,W,15,1009.3
,28/12/19,24.1,35.4,0,13.2,11.8,SW,39,15:02,24.6,63,3,WSW,17,1012.1,31.9,25,1,SW,20,1010.9
,29/12/19,21.8,34.1,0,11.8,12.6,SW,39,8:15,27.1,57,1,SW,17,1012.1,29.1,43,1,SW,19,1010.9
,30/12/19,24.5,40.7,0,13,8.5,WNW,63,5:49,33.6,23,5,NE,30,1004.2,31.1,37,5,SSW,33,1001.1
,31/12/19,16,23.8,0,15,12.1,WSW,50,12:45,19.8,40,2,S,24,1015.6,21.8,39,5,SW,35,1014.8